crash_date,zip_code,latitude,longitude
2020-12-11,NA,40.852516,-73.90001
2020-12-12,NA,40.861744,-73.911804
2020-12-24,NA,40.714104,-73.95322
2020-12-13,NA,40.69535,-73.91632
2020-12-29,NA,40.775368,-73.90962
2020-12-14,11230,40.630848,-73.97499
2020-12-16,11215,40.660137,-73.983925
2020-12-31,10459,40.832165,-73.894806
2020-12-11,10466,40.89339,-73.857376
2020-12-26,11211,40.701397,-73.95808
2020-12-23,10035,40.803696,-73.93792
2020-12-26,NA,40.764286,-73.95562
2020-12-19,NA,40.846443,-73.826004
2020-12-28,NA,40.84065,-73.91902
2020-12-10,11434,40.664623,-73.76899
2020-12-15,11691,40.610153,-73.745384
2020-12-26,10472,40.827656,-73.8861
2020-12-29,11434,40.67715,-73.79087
2020-12-16,10462,40.83419,-73.85186
2020-12-10,NA,40.754875,-73.96853
2020-12-09,11233,40.684353,-73.9276
2020-12-24,NA,40.71741,-73.984
2020-12-15,11207,40.683983,-73.89456
2020-12-14,11208,40.687317,-73.87021
2020-12-16,11432,40.712368,-73.79391
2020-12-28,10463,40.87314,-73.90572
2020-12-28,NA,40.826523,-73.93116
2020-12-22,10025,40.78911,-73.96656
2020-12-18,10453,40.848637,-73.91169
2020-12-21,11208,40.682766,-73.86623
2020-12-24,NA,40.6338,-73.8897
2020-12-15,NA,40.66559,-73.83132
2020-12-12,NA,40.58502,-74.14763
2020-12-27,11419,40.689827,-73.81291
2020-12-15,NA,40.801914,-73.95348
2020-12-23,11235,40.589134,-73.96338
2020-12-21,10467,40.876022,-73.862144
2020-12-22,11234,40.63774,-73.926125
2020-12-20,NA,40.63989,-74.02162
2020-12-31,11432,40.70467,-73.80566
2020-12-28,NA,40.86155,-73.92472
2020-12-09,NA,40.835808,-73.949455
2020-12-18,11209,40.622536,-74.02483
2020-12-22,NA,40.8452,-73.916885
2020-12-23,11215,40.66147,-73.98613
2020-12-09,NA,40.68945,-73.96809
2020-12-30,11372,40.74906,-73.870384
2020-12-23,11216,40.68039,-73.94956
2020-12-13,NA,40.64983,-74.00909
2020-12-18,11226,40.652744,-73.94802
2020-12-30,11434,40.65965,-73.773834
2020-12-24,10457,40.846516,-73.89537
2020-12-26,NA,40.768887,-73.90691
2020-12-24,11225,40.65901,-73.96055
2020-12-31,NA,40.781025,-73.981316
2020-12-13,10453,40.856106,-73.90646
2020-12-09,10007,40.713135,-74.00407
2020-12-11,11234,40.62548,-73.91786
2020-12-15,11217,40.687023,-73.97621
2020-12-27,NA,40.81423,-73.93444
2020-12-25,10467,40.86394,-73.86545
2020-12-27,11222,40.729473,-73.94229
2020-12-21,NA,40.79465,-73.971794
2020-12-12,11365,40.732727,-73.80502
2020-12-28,NA,40.691536,-73.99912
2020-12-24,NA,40.71406,-73.95292
2020-12-21,NA,40.708763,-73.998116
2020-12-21,10314,40.594616,-74.12555
2020-12-28,10003,40.737514,-73.98585
2020-12-20,NA,40.6345,-74.13155
2020-12-12,10458,40.86601,-73.890976
2020-12-16,11226,40.641945,-73.96456
2020-12-10,11221,40.693874,-73.91777
2020-12-13,10466,40.895344,-73.85971
2020-12-21,11385,40.710888,-73.92042
2020-12-24,10027,40.810425,-73.95176
2020-12-22,10456,40.831055,-73.905846
2020-12-12,11423,40.70942,-73.7749
2020-12-30,NA,40.598774,-73.801285
2020-12-11,11373,40.74623,-73.89037
2020-12-24,11230,40.632366,-73.95765
2020-12-15,NA,40.55554,-74.17562
2020-12-10,11207,40.6521,-73.88784
2020-12-14,NA,40.775,-73.9631
2020-12-21,10024,40.782463,-73.97883
2020-12-29,11214,40.5828,-73.98632
2020-12-27,NA,40.811638,-73.9316
2020-12-10,NA,40.872345,-73.9064
2020-12-21,11221,40.68837,-73.944916
2020-12-26,11209,40.62149,-74.02622
2020-12-28,11412,40.697285,-73.75645
2020-12-29,NA,40.667576,-73.72951
2020-12-14,11234,40.608204,-73.920715
2020-12-22,NA,40.67819,-73.80144
2020-12-11,NA,40.777958,-73.90847
2020-12-30,10466,40.89393,-73.8498
2020-12-15,NA,40.60862,-74.14824
2020-12-12,NA,40.703243,-73.99068
2020-12-11,NA,40.83096,-73.94947
2020-12-26,10001,40.749096,-73.98618
2020-12-24,11367,40.72393,-73.81808
2020-12-11,NA,40.724365,-73.75502
2020-12-21,10452,40.841347,-73.9169
2020-12-25,NA,40.66955,-73.94497
2020-12-08,11224,40.579716,-73.97713
2020-12-21,11413,40.665497,-73.75573
2020-12-09,11226,40.653976,-73.952835
2020-12-25,10468,40.86904,-73.90532
2020-12-20,11221,40.68879,-73.91691
2020-12-28,NA,40.678677,-73.952065
2020-12-23,NA,40.603584,-74.01842
2020-12-30,10457,40.847107,-73.89341
2020-12-10,11236,40.64789,-73.91072
2020-12-10,11203,40.65558,-73.93374
2020-12-12,11385,40.70003,-73.90698
2020-12-22,11237,40.708805,-73.92577
2020-12-31,NA,40.68708,-73.913895
2020-12-16,11413,40.686726,-73.75224
2020-12-18,11236,40.64938,-73.905556
2020-12-12,NA,40.680504,-73.8829
2020-12-21,11434,40.690342,-73.78243
2020-12-11,10456,40.831356,-73.908264
2020-12-31,10029,40.78517,-73.94332
2020-12-26,NA,40.700836,-73.98594
2020-12-11,NA,40.759567,-73.83015
2020-12-12,11210,40.63564,-73.95064
2020-12-22,11230,40.615215,-73.96879
2020-12-23,11213,40.667866,-73.93212
2020-12-19,10451,40.82435,-73.92264
2020-12-14,10459,40.817875,-73.89333
2020-12-30,11385,40.702335,-73.89073
2020-12-24,10465,40.82378,-73.836426
2020-12-30,11373,40.74452,-73.88449
2020-12-17,10310,40.6396,-74.11119
2020-12-30,11210,40.632317,-73.93671
2020-12-19,11235,40.58713,-73.96604
2020-12-17,NA,40.856537,-73.87257
2020-12-19,NA,40.66559,-73.83132
2020-12-12,11233,40.68315,-73.92006
2020-12-18,10035,40.8076,-73.93719
2020-12-14,10007,40.71546,-74.00594
2020-12-28,11211,40.702526,-73.95934
2020-12-15,11379,40.71235,-73.89129
2020-12-14,NA,40.748924,-73.937386
2020-12-27,11368,40.75226,-73.86822
2020-12-23,NA,40.608852,-74.15334
2020-12-13,NA,40.653503,-73.935425
2020-12-27,10032,40.837906,-73.93835
2020-12-13,NA,40.696556,-73.98091
2020-12-19,10027,40.808098,-73.94629
2020-12-13,10023,40.772243,-73.990005
2020-12-12,11433,40.699013,-73.79573
2020-12-27,NA,40.67264,-73.87281
2020-12-19,NA,40.78835,-73.83079
2020-12-15,11230,40.620823,-73.96153
2020-12-21,10466,40.89124,-73.86086
2020-12-18,10003,40.734673,-73.99459
2020-12-08,NA,40.72015,-73.93783
2020-12-10,10039,40.82815,-73.93491
2020-12-29,11212,40.671906,-73.91174
2020-12-11,11238,40.674664,-73.97025
2020-12-18,10470,40.89968,-73.867195
2020-12-24,11212,40.66973,-73.91049
2020-12-23,NA,40.78296,-73.94403
2020-12-23,10473,40.822205,-73.8569
2020-12-29,NA,40.74132,-73.78478
